DATE,GRU_100,실제 값,GRU_1,Closer_to_Real
2021-01-09 21:00,71151.086,71222,71004.9,GRU_100
2021-01-09 22:00,70036.6,69024,70115.44,GRU_100
2021-01-09 23:00,69055.33,69331,69103.055,GRU_1
2021-01-10 0:00,69359.2,71259,69307.555,GRU_100
2021-01-10 1:00,67303.16,69016,67141.984,GRU_100
2021-01-10 2:00,65458.684,66797,65158.93,GRU_100
2021-01-10 3:00,64381.3,65250,63900.465,GRU_100
2021-01-10 4:00,63943.316,64317,63536.137,GRU_100
2021-01-10 5:00,63373.156,64098,63133.938,GRU_100
2021-01-10 6:00,64067.29,64459,63560.062,GRU_100
2021-01-10 7:00,64215.03,64882,63864.24,GRU_100
2021-01-10 8:00,65644.26,64993,65398.645,GRU_1
2021-01-10 9:00,66044.664,65140,65784.34,GRU_1
2021-01-10 10:00,65460.625,63661,65071.24,GRU_1
2021-01-10 11:00,63107.95,63682,63004.66,GRU_100
2021-01-10 12:00,61661.414,63093,61544.4,GRU_100
2021-01-10 13:00,60200.96,62089,60609.98,GRU_1
2021-01-10 14:00,60888.1,62194,61790.887,GRU_1
2021-01-10 15:00,62079.715,62778,62150.07,GRU_1
2021-01-10 16:00,62693.535,64543,62581.336,GRU_100
2021-01-10 17:00,64030.484,66813,63841.09,GRU_100
2021-01-10 18:00,65819.43,69439,65670.51,GRU_100
2021-01-10 19:00,68019.72,70738,67834.8,GRU_100
2021-01-10 20:00,69269.58,69913,69058.76,GRU_100
2021-01-10 21:00,68849.77,68716,68648.766,GRU_1
2021-01-10 22:00,67906.45,67209,67871.1,GRU_1
2021-01-10 23:00,67325.87,67725,67269.305,GRU_100
2021-01-11 0:00,67807.76,68749,67640.56,GRU_100
2021-01-11 1:00,64989.4,66415,64788.258,GRU_100
2021-01-11 2:00,63385.09,64357,63071.023,GRU_100
2021-01-11 3:00,62260.734,63260,61864.145,GRU_100
2021-01-11 4:00,62323.453,62743,61779.01,GRU_100
2021-01-11 5:00,63093.09,63238,62795.164,GRU_100
2021-01-11 6:00,64845.617,64878,64181.254,GRU_100
2021-01-11 7:00,69493.69,68630,68267.91,GRU_1
2021-01-11 8:00,74507.72,75014,73659.23,GRU_100
2021-01-11 9:00,79729.01,84899,78678.68,GRU_100
2021-01-11 10:00,87059.68,89038,85795.54,GRU_100
2021-01-11 11:00,88384.11,90564,87949.43,GRU_100
2021-01-11 12:00,86241.266,90503,86403.85,GRU_1
2021-01-11 13:00,85144.54,87340,86417.56,GRU_1
2021-01-11 14:00,87763.91,89303,88209.5,GRU_1
2021-01-11 15:00,88937.65,89758,88870.32,GRU_100
2021-01-11 16:00,88973.46,89481,88867.27,GRU_100
2021-01-11 17:00,88159.37,89824,88007.04,GRU_100
2021-01-11 18:00,87606.59,87333,87375.25,GRU_1
2021-01-11 19:00,85075,84111,84779.27,GRU_1
2021-01-11 20:00,81575.61,80588,81294.42,GRU_1
2021-01-11 21:00,78118.64,77300,78092.266,GRU_1
2021-01-11 22:00,75446.66,73692,75500.07,GRU_100
2021-01-11 23:00,72944.33,72582,73340.05,GRU_100
2021-01-12 0:00,72379.17,74455,72710.75,GRU_1
2021-01-12 1:00,70261.234,71608,70362.08,GRU_1
2021-01-12 2:00,68601.26,69670,68456.53,GRU_100
2021-01-12 3:00,67233.5,68467,66922.52,GRU_100
2021-01-12 4:00,67165.305,67935,66670.85,GRU_100
2021-01-12 5:00,67844.69,68101,67505.6,GRU_100
2021-01-12 6:00,69319.516,69301,68681.13,GRU_100
2021-01-12 7:00,73411.2,72617,71671.95,GRU_100
2021-01-12 8:00,78120.21,77928,76975.11,GRU_100
2021-01-12 9:00,82452.18,86120,81296.07,GRU_100
2021-01-12 10:00,88107.53,88089,86836.5,GRU_100
2021-01-12 11:00,87319.38,86670,86949.516,GRU_1
2021-01-12 12:00,82303.26,83758,82511.34,GRU_1
2021-01-12 13:00,78475.02,79558,80641.836,GRU_100
2021-01-12 14:00,80252.03,81987,80688.555,GRU_1
2021-01-12 15:00,81723.734,84014,81657.45,GRU_100
2021-01-12 16:00,83425.18,85429,83260.35,GRU_100
2021-01-12 17:00,84359.484,86635,84123.445,GRU_100
2021-01-12 18:00,84778.3,84736,84499.57,GRU_100
2021-01-12 19:00,82760.73,82125,82435.914,GRU_1
2021-01-12 20:00,79670.8,79067,79370.125,GRU_1
2021-01-12 21:00,76557.49,76045,76491.85,GRU_1
2021-01-12 22:00,74108.7,72710,74157.12,GRU_100
2021-01-12 23:00,72138.1,71518,72455,GRU_100
2021-01-13 0:00,71591.77,73255,71806.195,GRU_1
2021-01-13 1:00,69293.34,70389,69315.45,GRU_1
2021-01-13 2:00,67483.02,68240,67311.055,GRU_100
2021-01-13 3:00,65981.55,66860,65667.91,GRU_100
2021-01-13 4:00,65761.914,66064,65265.734,GRU_100
2021-01-13 5:00,66319.26,66177,65731.42,GRU_100
2021-01-13 6:00,67375.945,67252,66726.7,GRU_100
2021-01-13 7:00,70579.78,70123,69258.18,GRU_100
2021-01-13 8:00,75062.49,75242,74106.17,GRU_100
2021-01-13 9:00,79548.68,82971,78582.38,GRU_100
2021-01-13 10:00,85137.61,84235,84004.43,GRU_1
2021-01-13 11:00,83839.31,82359,83587.67,GRU_1
2021-01-13 12:00,78543.76,78997,78715.78,GRU_1
2021-01-13 13:00,73822.11,73791,76032.016,GRU_100
2021-01-13 14:00,74683.766,75361,74974.53,GRU_1
2021-01-13 15:00,75217.74,76029,75134.664,GRU_100
2021-01-13 16:00,75889.06,77230,75763.15,GRU_100
2021-01-13 17:00,76628.84,79665,76416.77,GRU_100
2021-01-13 18:00,78109.8,78546,77829.88,GRU_100
2021-01-13 19:00,77151.07,76696,76841.81,GRU_1
2021-01-13 20:00,74925.19,74163,74628.6,GRU_1
2021-01-13 21:00,72249.664,71883,72139.17,GRU_1
2021-01-13 22:00,70558.73,69255,70787.125,GRU_100
2021-01-13 23:00,69400.734,68252,69598.555,GRU_100
2021-01-14 0:00,68952.32,69914,69017.81,GRU_1
2021-01-14 1:00,66461.836,66746,66407.99,GRU_100
2021-01-14 2:00,64187.516,64775,63888.656,GRU_100
2021-01-14 3:00,62708.06,63565,62345.934,GRU_100
2021-01-14 4:00,62546.69,63330,61994.723,GRU_100
2021-01-14 5:00,63361.387,63888,62771.125,GRU_100
2021-01-14 6:00,64899.188,65322,64156.402,GRU_100
2021-01-14 7:00,67612.94,68523,66783.63,GRU_100
2021-01-14 8:00,72344.05,73841,71961.76,GRU_100
2021-01-14 9:00,77663.64,80757,77015.33,GRU_100
2021-01-14 10:00,82726.6,80501,81826.125,GRU_1
2021-01-14 11:00,80140.336,78686,79952.41,GRU_1
2021-01-14 12:00,74978.68,75711,75105.84,GRU_1
2021-01-14 13:00,70858.88,70958,72912.4,GRU_100
2021-01-14 14:00,71766.984,72641,71986.055,GRU_1
2021-01-14 15:00,72452.16,73520,72334.94,GRU_100
2021-01-14 16:00,73328.695,74674,73175.65,GRU_100
2021-01-14 17:00,74115.87,77159,73927.11,GRU_100
2021-01-14 18:00,75693.766,77206,75418.25,GRU_100
2021-01-14 19:00,75631.32,76347,75309.83,GRU_100
2021-01-14 20:00,74385.39,74083,74070.83,GRU_1
2021-01-14 21:00,72070.125,71710,71870.26,GRU_1
2021-01-14 22:00,70364.67,68953,70542.9,GRU_100
2021-01-14 23:00,69084.47,67891,69231.21,GRU_100
2021-01-15 0:00,68601.055,69110,68639.32,GRU_1
2021-01-15 1:00,65927.04,66149,65829.195,GRU_100
2021-01-15 2:00,63512.074,63620,63219.176,GRU_100
2021-01-15 3:00,61840.6,62130,61429.42,GRU_100
2021-01-15 4:00,61346.28,61644,60839.633,GRU_100
2021-01-15 5:00,61670.387,62022,61225.46,GRU_100
2021-01-15 6:00,62837.37,63299,62278.758,GRU_100
2021-01-15 7:00,64689.555,66269,64120.05,GRU_100
2021-01-15 8:00,68977.2,71082,68697.24,GRU_100
2021-01-15 9:00,74339.445,78032,73926.36,GRU_100
2021-01-15 10:00,79869.76,78869,79149.08,GRU_1
2021-01-15 11:00,78817.35,78279,78628.06,GRU_1
2021-01-15 12:00,75186.33,76936,75278.164,GRU_1
2021-01-15 13:00,71872.95,73618,73735.18,GRU_1
2021-01-15 14:00,73845.8,76161,74174.34,GRU_1
2021-01-15 15:00,75641.234,76666,75480.61,GRU_100
2021-01-15 16:00,76332.21,76674,76136.13,GRU_100
2021-01-15 17:00,76046.23,77067,75838.99,GRU_100
2021-01-15 18:00,75823.445,75314,75579.87,GRU_1
2021-01-15 19:00,74114.71,73908,73870.39,GRU_1
2021-01-15 20:00,72347.86,71808,72098.88,GRU_1
2021-01-15 21:00,70336.35,70103,70353.2,GRU_100
2021-01-15 22:00,69428.625,67927,69595.66,GRU_100
2021-01-15 23:00,68490.4,67006,68591.51,GRU_100
2021-01-16 0:00,68000.164,69025,67969.24,GRU_100
2021-01-16 1:00,65629.54,65871,65449.035,GRU_100
2021-01-16 2:00,63112.66,63503,62794.566,GRU_100
2021-01-16 3:00,61599.227,62090,61119.824,GRU_100
2021-01-16 4:00,61186.812,61578,60644.168,GRU_100
2021-01-16 5:00,61225.94,61947,60903.984,GRU_100
2021-01-16 6:00,62274.688,62762,61769.42,GRU_100
2021-01-16 7:00,63257.004,64049,62883.332,GRU_100
2021-01-16 8:00,65685.31,65843,65487.547,GRU_100
2021-01-16 9:00,67867.95,68162,67619.06,GRU_100
2021-01-16 10:00,69329.98,67499,68755.47,GRU_1
2021-01-16 11:00,67127.61,67033,66994.44,GRU_1
